"ccode","wdi_nm"
2,"United States"
20,"Canada"
31,""
31,"Bahamas"
31,"Bahamas, The"
40,""
40,"Cuba"
41,""
41,"Haiti"
42,""
42,"Dominican Republic"
51,""
51,"Jamaica"
52,""
52,"Trinidad & Tobago"
52,"Trinidad and Tobago"
53,""
53,"Barbados"
54,""
54,"Dominica"
55,""
55,"Grenada"
56,""
56,"St. Lucia"
57,""
57,"St.Vincent & Grenadines"
57,"St. Vincent and the Grenadines"
58,""
58,"Antigua & Barbuda"
58,"Antigua and Barbuda"
60,""
60,"St. Kitts & Nevis"
60,"St. Kitts and Nevis"
70,""
70,"Mexico"
80,""
80,"Belize"
90,""
90,"Guatemala"
91,""
91,"Honduras"
92,""
92,"El Salvador"
93,""
93,"Nicaragua"
94,""
94,"Costa Rica"
95,""
95,"Panama"
100,""
100,"Colombia"
101,""
101,"Venezuela"
101,"Venezuela, RB"
110,""
110,"Guyana"
115,""
115,"Suriname"
130,""
130,"Ecuador"
135,""
135,"Peru"
140,""
140,"Brazil"
145,""
145,"Bolivia"
150,""
150,"Paraguay"
155,""
155,"Chile"
160,""
160,"Argentina"
165,""
165,"Uruguay"
200,"United Kingdom"
205,"Ireland"
210,"Netherlands"
211,"Belgium"
212,"Luxembourg"
220,"France"
221,"Monaco"
223,"Liechtenstein"
225,"Switzerland"
230,"Spain"
232,"Andorra"
235,"Portugal"
240,""
245,""
255,"Germany"
260,""
265,""
267,""
269,""
271,""
273,""
275,""
280,""
290,"Poland"
300,""
305,"Austria"
310,"Hungary"
315,""
316,"Czech Republic"
317,"Slovak Republic"
325,"Italy"
327,""
329,""
331,"San Marino"
332,""
335,""
337,""
338,""
338,"Malta"
339,""
339,"Albania"
343,""
343,"Macedonia, FYR"
344,""
344,"Croatia"
345,""
345,"Serbia"
345,"Serbia and Montenegro"
346,""
346,"Bosnia-Herzegovina"
346,"Bosnia and Herzegovina"
349,""
349,"Slovenia"
350,"Greece"
352,""
352,"Cyprus"
355,"Bulgaria"
359,""
359,"Moldova"
360,"Romania"
365,"Russia"
365,"Russian Federation"
366,"Estonia"
367,"Latvia"
368,"Lithuania"
369,""
369,"Ukraine"
370,""
370,"Belarus"
371,""
371,"Armenia"
372,""
372,"Georgia"
373,""
373,"Azerbaijan"
375,"Finland"
380,"Sweden"
385,"Norway"
390,"Denmark"
395,"Iceland"
402,""
402,"Cape Verde"
403,""
403,"Sao Tome & Principe"
403,"Sao Tome and Principe"
404,""
404,"Guinea-Bissau"
411,""
411,"Equatorial Guinea"
420,""
420,"Gambia"
420,"Gambia, The"
432,""
432,"Mali"
433,""
433,"Senegal"
434,""
434,"Benin"
435,""
435,"Mauritania"
436,""
436,"Niger"
437,""
437,"Cote D'Ivoire"
437,"Cote d'Ivoire"
438,""
438,"Guinea"
439,""
439,"Burkina Faso"
450,""
450,"Liberia"
451,""
451,"Sierra Leone"
452,""
452,"Ghana"
461,""
461,"Togo"
471,""
471,"Cameroon"
475,""
475,"Nigeria"
481,""
481,"Gabon"
482,""
482,"Central African Rep."
482,"Central African Republic"
483,""
483,"Chad"
484,""
484,"Congo, Rep."
490,""
490,"Congo, Dem. Rep."
500,""
500,"Uganda"
501,""
501,"Kenya"
510,""
510,"Tanzania"
511,""
516,""
516,"Burundi"
517,""
517,"Rwanda"
520,""
520,"Somalia"
522,""
522,"Djibouti"
530,""
530,"Ethiopia"
531,""
531,"Eritrea"
540,""
540,"Angola"
541,""
541,"Mozambique"
551,""
551,"Zambia"
552,""
552,"Zimbabwe"
553,""
553,"Malawi"
560,""
560,"South Africa"
565,""
565,"Namibia"
570,""
570,"Lesotho"
571,""
571,"Botswana"
572,""
572,"Swaziland"
580,""
580,"Madagascar"
581,""
581,"Comoros"
590,""
590,"Mauritius"
591,""
591,"Seychelles"
600,""
600,"Morocco"
615,""
615,"Algeria"
616,""
616,"Tunisia"
620,""
620,"Libya"
625,""
625,"Sudan"
630,""
630,"Iran"
630,"Iran, Islamic Rep."
640,""
640,"Turkey"
645,""
645,"Iraq"
651,""
651,"Egypt"
651,"Egypt, Arab Rep."
652,""
652,"Syria"
652,"Syrian Arab Republic"
660,""
660,"Lebanon"
663,""
663,"Jordan"
666,""
666,"Israel"
670,""
670,"Saudi Arabia"
678,""
679,"Yemen"
679,"Yemen, Rep."
680,""
690,"Kuwait"
692,""
692,"Bahrain"
694,""
694,"Qatar"
696,""
696,"United Arab Emirates"
698,""
698,"Oman"
700,""
700,"Afghanistan"
701,""
701,"Turkmenistan"
702,""
702,"Tajikistan"
703,""
703,"Kyrgyz Republic"
704,""
704,"Uzbekistan"
705,""
705,"Kazakhstan"
710,""
710,"China"
712,""
712,"Mongolia"
713,"Taiwan"
730,""
731,""
731,"Korea, Dem. Rep."
732,""
732,"Korea"
732,"Korea, Rep."
740,"Japan"
750,""
750,"India"
760,""
760,"Bhutan"
770,""
770,"Pakistan"
771,""
771,"Bangladesh"
775,""
775,"Myanmar"
780,""
780,"Sri Lanka"
781,""
781,"Maldives"
790,""
790,"Nepal"
800,""
800,"Thailand"
811,""
811,"Cambodia"
812,""
812,"Laos"
812,"Lao PDR"
816,""
816,"Viet Nam"
816,"Vietnam"
817,""
820,""
820,"Malaysia"
830,""
830,"Singapore"
835,""
835,"Brunei"
840,""
840,"Philippines"
850,""
850,"Indonesia"
860,""
900,"Australia"
910,""
910,"Papua New Guinea"
920,"New Zealand"
935,""
935,"Vanuatu"
940,""
940,"Solomon Islands"
946,""
946,"Kiribati"
947,""
950,""
950,"Fiji"
955,""
955,"Tonga"
970,""
983,""
983,"Marshall Islands"
986,""
986,"Palau"
987,"Micronesia, Federated States of"
987,"Micronesia, Fed. Sts."
990,""
990,"Samoa"
